,City,Population,Zip Codes
252,Springfield,"114,694
","
ZIP codes[6][7]
62701–62708, 62711, 62712, 62715, 62716, 62719, 62722, 62723, 62726, 62736, 62739, 62756, 62757, 62761–62767, 62769, 62776, 62777, 62781, 62786, 62791, 62794, 62796
"
253,Palm Bay,"114,194
",32905-32911
254,Costa Mesa,"113,615
",92626–92628
255,Westminster,"113,479
","80003, 80005, 80020-80021, 80023, 80030-80031, 80035-80036, 80221, 80234, 80241, 80260"
256,North Charleston,"113,237
",N/A
257,Miami Gardens,"113,069
","33014, 33054, 33055, 33056, 33152, 33169"
258,Manchester,"112,525
",03101-03111 (03110 assigned to suburb Bedford)
259,High Point,"112,316
",27260-27265
260,Downey,"112,269
",90239–90242
261,Clovis,"112,022
",93611–93613 and 93619
262,Pompano Beach,"111,954
","33060-33077, 33093, 33097"
263,Pueblo,"111,750
",81001-81012
264,Elgin,"111,683
",60120–60125
265,Lowell,"111,670
","01850, 01851, 01852, 01853, 01854"
266,Antioch,"111,535
","94509, 94531"
267,West Palm Beach,"111,398
",33401–33422
268,Peoria,"111,388
","
29 total ZIP codes:
61601-61607, 61612-61615, 61625, 61629, 61630, 61633, 61634, 61636-61639, 61641, 61643, 61650-61656[2]
"
269,Everett,"111,262
","98201, 98203, 98204, 98206, 98207, 98208, 98213[5]"
270,Ventura,"111,128
","93001–93007, 93009"
271,Centennial,"110,831
","80015-80016, 80111-80112, 80121-80122,80161 (PO Box)"
272,Lakeland,"110,516
",33801–33815
273,Gresham,"110,158
","97030, 97080, 97233"
274,Richmond,"110,146
","94801, 94802, 94804, 94805, 94807, 94808, 94850"
275,Billings,"109,550
",59101-59117[4]
276,Inglewood,"109,419
",90301–90312
277,Broken Arrow,"109,171
",74011-74014
278,Sandy Springs,"108,797
","30328, 30327, 30338, 30342, 30350, 30358, 30319, 30092[6]"
279,Jurupa Valley,"108,393
","92509, 91752"
280,Hillsboro,"108,389
","97123, 97124, 97006"
281,Waterbury,"108,093
",06701–06720
282,Santa Maria,"107,408
",93454–93458
283,Boulder,"107,353
","80301-80310, 80314, 80321-80323, 80328, 80329"
284,Greeley,"107,348
",80631-80634 & 80638-80639
285,Daly City,"107,008
",94014–94017
286,Meridian,"106,804
","83642, 83646, 83680"
287,Lewisville,"106,586
","75029, 75057, 75067, 75077"
288,Davie,"106,558
","33312, 33314, 33317, 33324-33332, 33355, 33331"
289,West Covina,"106,311
",91790–91793
290,League City,"106,244
",77573-77574
291,Tyler,"105,729
",757xx
